1fc00500:   24 09 1e b8         ADDIU $t1, $zero, 0x1eb8
1fc00504:   21 10 1e b8         ADDI $s0, $t0, 0x1eb8
1fc00508:   3c 12 1d d7         LUI $s2, 0x1dd7
1fc0050c:   36 52 ba 4d         ORI $s2, $s2, 0xba4d
1fc00510:   16 12 07 c4         BNE $s2, 0x07c4
1fc00514:   00 00 00 00         NOP
1fc00518:   3c 08 c8 67         LUI $t0, 0xc867
1fc0051c:   35 08 e9 30         ORI $t0, $t0, 0xe930
1fc00520:   34 09 8b ee         ORI $t1, $zero, 0x8bee
1fc00524:   21 10 8b ee         ADDI $s0, $t0, 0x8bee
1fc00528:   3c 12 c8 67         LUI $s2, 0xc867
1fc0052c:   36 52 75 1e         ORI $s2, $s2, 0x751e
1fc00530:   16 12 07 bc         BNE $s2, 0x07bc
1fc00534:   00 00 00 00         NOP
1fc00538:   3c 08 b8 33         LUI $t0, 0xb833
1fc0053c:   35 08 fd f2         ORI $t0, $t0, 0xfdf2
1fc00540:   24 09 74 e0         ADDIU $t1, $zero, 0x74e0
1fc00544:   21 10 74 e0         ADDI $s0, $t0, 0x74e0
1fc00548:   3c 12 b8 34         LUI $s2, 0xb834
1fc0054c:   36 52 72 d2         ORI $s2, $s2, 0x72d2
1fc00550:   16 12 07 b4         BNE $s2, 0x07b4
1fc00554:   00 00 00 00         NOP
1fc00558:   3c 08 8b 8d         LUI $t0, 0x8b8d
1fc0055c:   35 08 cf 70         ORI $t0, $t0, 0xcf70
1fc00560:   34 09 97 75         ORI $t1, $zero, 0x9775
1fc00564:   21 10 97 75         ADDI $s0, $t0, 0x9775
1fc00568:   3c 12 8b 8d         LUI $s2, 0x8b8d
1fc0056c:   36 52 66 e5         ORI $s2, $s2, 0x66e5
1fc00570:   16 12 07 ac         BNE $s2, 0x07ac
1fc00574:   00 00 00 00         NOP
1fc00578:   3c 08 b6 75         LUI $t0, 0xb675
1fc0057c:   35 08 c5 e0         ORI $t0, $t0, 0xc5e0
1fc00580:   24 09 76 6b         ADDIU $t1, $zero, 0x766b
1fc00584:   21 10 76 6b         ADDI $s0, $t0, 0x766b
1fc00588:   3c 12 b6 76         LUI $s2, 0xb676
1fc0058c:   36 52 3c 4b         ORI $s2, $s2, 0x3c4b
1fc00590:   16 12 07 a4         BNE $s2, 0x07a4
1fc00594:   00 00 00 00         NOP
1fc00598:   3c 08 21 4a         LUI $t0, 0x214a
1fc0059c:   35 08 e0 00         ORI $t0, $t0, 0xe000
1fc005a0:   24 09 38 6a         ADDIU $t1, $zero, 0x386a
1fc005a4:   21 10 38 6a         ADDI $s0, $t0, 0x386a
1fc005a8:   3c 12 21 4b         LUI $s2, 0x214b
1fc005ac:   36 52 18 6a         ORI $s2, $s2, 0x186a
1fc005b0:   16 12 07 9c         BNE $s2, 0x079c
1fc005b4:   00 00 00 00         NOP
1fc005b8:   3c 08 3b 1e         LUI $t0, 0x3b1e
1fc005bc:   35 08 e7 a0         ORI $t0, $t0, 0xe7a0
1fc005c0:   24 09 51 70         ADDIU $t1, $zero, 0x5170
1fc005c4:   21 10 51 70         ADDI $s0, $t0, 0x5170
1fc005c8:   3c 12 3b 1f         LUI $s2, 0x3b1f
1fc005cc:   36 52 39 10         ORI $s2, $s2, 0x3910
1fc005d0:   16 12 07 94         BNE $s2, 0x0794
1fc005d4:   00 00 00 00         NOP
1fc005d8:   3c 08 44 34         LUI $t0, 0x4434
1fc005dc:   35 08 d9 5c         ORI $t0, $t0, 0xd95c
1fc005e0:   24 09 44 44         ADDIU $t1, $zero, 0x4444
1fc005e4:   21 10 44 44         ADDI $s0, $t0, 0x4444
1fc005e8:   3c 12 44 35         LUI $s2, 0x4435
1fc005ec:   36 52 1d a0         ORI $s2, $s2, 0x1da0
1fc005f0:   16 12 07 8c         BNE $s2, 0x078c
1fc005f4:   00 00 00 00         NOP
1fc005f8:   3c 08 29 b8         LUI $t0, 0x29b8
1fc005fc:   35 08 5e 98         ORI $t0, $t0, 0x5e98
1fc00600:   34 09 80 5a         ORI $t1, $zero, 0x805a
1fc00604:   21 10 80 5a         ADDI $s0, $t0, 0x805a
1fc00608:   3c 12 29 b7         LUI $s2, 0x29b7
1fc0060c:   36 52 de f2         ORI $s2, $s2, 0xdef2
1fc00610:   16 12 07 84         BNE $s2, 0x0784
1fc00614:   00 00 00 00         NOP
1fc00618:   3c 08 ff 5f         LUI $t0, 0xff5f
1fc0061c:   35 08 a9 cc         ORI $t0, $t0, 0xa9cc
1fc00620:   24 09 55 48         ADDIU $t1, $zero, 0x5548
1fc00624:   21 10 55 48         ADDI $s0, $t0, 0x5548
1fc00628:   3c 12 ff 5f         LUI $s2, 0xff5f
1fc0062c:   36 52 ff 14         ORI $s2, $s2, 0xff14
1fc00630:   16 12 07 7c         BNE $s2, 0x077c
1fc00634:   00 00 00 00         NOP
1fc00638:   3c 08 37 73         LUI $t0, 0x3773
1fc0063c:   35 08 e9 68         ORI $t0, $t0, 0xe968
1fc00640:   24 09 6e a8         ADDIU $t1, $zero, 0x6ea8
1fc00644:   21 10 6e a8         ADDI $s0, $t0, 0x6ea8
1fc00648:   3c 12 37 74         LUI $s2, 0x3774
1fc0064c:   36 52 58 10         ORI $s2, $s2, 0x5810
1fc00650:   16 12 07 74         BNE $s2, 0x0774
1fc00654:   00 00 00 00         NOP
1fc00658:   3c 08 fc f8         LUI $t0, 0xfcf8
1fc0065c:   35 08 f9 4c         ORI $t0, $t0, 0xf94c
1fc00660:   34 09 bd 9f         ORI $t1, $zero, 0xbd9f
1fc00664:   21 10 bd 9f         ADDI $s0, $t0, 0xbd9f
1fc00668:   3c 12 fc f8         LUI $s2, 0xfcf8
1fc0066c:   36 52 b6 eb         ORI $s2, $s2, 0xb6eb
1fc00670:   16 12 07 6c         BNE $s2, 0x076c
1fc00674:   00 00 00 00         NOP
1fc00678:   3c 08 59 26         LUI $t0, 0x5926
1fc0067c:   35 08 be 78         ORI $t0, $t0, 0xbe78
1fc00680:   24 09 19 68         ADDIU $t1, $zero, 0x1968
1fc00684:   21 10 19 68         ADDI $s0, $t0, 0x1968
1fc00688:   3c 12 59 26         LUI $s2, 0x5926
